"","ISO","year","Dummy_Earthquake","Dummy_Drought"
"228","COL",2004,1,0
"229","COL",2004,1,0
"230","CUB",2004,0,1
"231","DEU",2004,1,0
"232","DMA",2004,1,0
"233","DZA",2004,1,0
"234","DZA",2004,1,0
"235","GLP",2004,1,0
"236","IDN",2004,1,0
"237","IDN",2004,1,0
"238","IND",2004,1,0
"239","LKA",2004,1,0
"240","JPN",2005,1,0
"241","JPN",2005,1,0
"242","IDN",2005,1,0
"243","IDN",2005,1,0
"244","IRN",2005,1,0
"245","IRN",2005,1,0
"246","RUS",2003,1,0
"247","RUS",2003,0,1
"248","MOZ",2003,0,1
"249","PAN",2003,1,0
"250","PAN",2003,1,0
"251","RWA",2003,0,1
"252","TUR",2003,1,0
"253","TUR",2003,1,0
"254","TUR",2003,1,0
"255","TZA",2003,0,1
"256","USA",2003,1,0
"257","PAK",2004,1,0
"258","SVN",2004,1,0
"259","TJK",2004,1,0
"260","TUR",2004,1,0
"261","MDV",2004,1,0
"262","MYS",2004,1,0
"263","THA",2004,1,0
"264","PER",2004,0,1
"265","SOM",2004,0,1
"266","TZA",2004,0,1
"267","MAR",2004,1,0
"268","MMR",2004,1,0
"269","PRT",2004,0,1
"270","RUS",2004,1,0
"271","SOM",2004,1,0
"272","SYC",2004,1,0
"273","TUR",2004,1,0
"274","TUR",2004,1,0
"275","TZA",2004,1,0
"276","ZAF",2004,0,1
"277","SLV",2005,1,0
"278","TUR",2005,1,0
"279","TUR",2005,1,0
"280","ZAF",2005,1,0
"281","AFG",2005,1,0
"282","AFG",2005,1,0
"283","AFG",2006,1,0
"284","BDI",2005,0,1
"285","CHN",2005,0,1
"286","IND",2005,1,0
"287","CHL",2005,1,0
"288","ETH",2005,0,1
"289","CMR",2005,0,1
"290","DJI",2005,0,1
"291","BRA",2005,0,1
"292","CHN",2005,1,0
"293","CHN",2005,1,0
"294","CHN",2005,0,1
"295","IRN",2005,1,0
"296","IRN",2005,1,0
"297","CHN",2006,1,0
"298","IDN",2006,1,0
"299","IDN",2006,1,0
"300","CHN",2006,0,1
"301","GNB",2006,0,1
"302","AFG",2006,0,1
"303","AUS",2006,0,1
"304","BGR",2006,1,0
"305","CHN",2006,1,0
"306","CHN",2006,1,0
"307","CHN",2006,1,0
"308","CHN",2006,1,0
"309","CHN",2006,1,0
"310","DZA",2006,1,0
"311","IDN",2006,1,0
"312","IDN",2006,1,0
"313","IDN",2006,1,0
"314","IRN",2006,1,0
"315","IRN",2006,1,0
"316","IRN",2006,1,0
"317","CHL",2007,1,0
"318","IDN",2007,1,0
"319","KHM",2005,0,1
"320","MDG",2005,0,1
"321","MWI",2005,0,1
"322","NER",2005,0,1
"323","MOZ",2005,0,1
"324","MLI",2005,0,1
"325","SOM",2005,0,1
"326","KEN",2005,0,1
"327","PAK",2005,1,0
"328","PER",2005,1,0
"329","PER",2005,1,0
"330","PNG",2005,1,0
"331","PRY",2005,0,1
"332","THA",2005,0,1
"333","TUR",2005,1,0
"334","TZA",2005,1,0
"335","UGA",2005,0,1
"336","VNM",2005,0,1
"337","COD",2005,1,0
"338","USA",2006,1,0
"339","TZA",2006,0,1
"340","LTU",2006,0,1
"341","MLI",2006,0,1
"342","KGZ",2006,1,0
"343","MOZ",2006,1,0
"344","NPL",2006,0,1
"345","PER",2006,0,1
"346","RUS",2006,1,0
"347","SLV",2006,1,0
"348","TJK",2006,1,0
"349","TWN",2006,1,0
"350","JPN",2007,1,0
"351","SLB",2007,1,0
"352","ZMB",2005,0,1
"353","BRB",2007,1,0
"354","IDN",2007,1,0
"355","BRA",2007,1,0
"356","BRA",2007,0,1
"357","CHL",2007,1,0
"358","CHN",2007,1,0
"359","COL",2007,1,0
"360","DJI",2007,0,1
"361","GBR",2007,1,0
"362","HND",2007,1,0
"363","IDN",2007,1,0
"364","IDN",2007,1,0
"365","ETH",2008,0,1
"366","CHN",2008,1,0
"367","COL",2008,1,0
"368","GRC",2008,1,0
"369","AFG",2008,0,1
"370","BDI",2008,0,1
"371","DJI",2008,0,1
"372","BOL",2008,0,1
"373","CHN",2008,1,0
"374","CHN",2008,1,0
"375","CHN",2008,1,0
"376","CHN",2008,1,0
"377","CHN",2008,1,0
"378","CHN",2008,1,0
"379","CHN",2008,0,1
"380","ERI",2008,0,1
"381","IDN",2008,1,0
"382","IDN",2008,1,0
"383","IDN",2008,1,0
"384","CRI",2009,1,0
"385","HND",2009,1,0
"386","AFG",2009,1,0
"387","CHN",2009,1,0
"388","IDN",2009,1,0
"389","IDN",2009,1,0
"390","JPN",2007,1,0
"391","PER",2007,1,0
"392","RUS",2007,1,0
"393","TJK",2007,1,0
"394","LSO",2007,0,1
"395","MDA",2007,0,1
"396","MOZ",2007,0,1
"397","SWZ",2007,0,1
"398","JPN",2007,1,0
"399","LCA",2007,1,0
"400","MTQ",2007,1,0
"401","MWI",2007,0,1
"402","PHL",2007,0,1
"403","USA",2007,0,1
"404","JPN",2008,1,0
"405","JPN",2008,1,0
"406","PAK",2008,1,0
"407","MDG",2008,0,1
"408","MOZ",2008,0,1
"409","SOM",2008,0,1
"410","TJK",2008,0,1
"411","UGA",2008,0,1
"412","IRN",2008,1,0
"413","IRN",2008,1,0
"414","KEN",2008,0,1
"415","KGZ",2008,1,0
"416","KGZ",2008,1,0
"417","PRY",2008,0,1
"418","RUS",2008,1,0
"419","RWA",2008,1,0
"420","SYR",2008,0,1
"421","THA",2008,0,1
"422","USA",2008,1,0
"423","ITA",2009,1,0
"424","ZWE",2007,0,1
"425","TLS",2007,0,1
"426","COD",2008,1,0
"427","JPN",2009,1,0
"428","IDN",2009,1,0
"429","IDN",2009,1,0
"430","ASM",2009,1,0
"431","ARG",2009,0,1
"432","CHN",2009,0,1
"433","BDI",2009,0,1
"434","ETH",2009,0,1
"435","GTM",2009,0,1
"436","HND",2009,0,1
"437","ALB",2009,1,0
"438","BGD",2009,0,1
"439","BTN",2009,1,0
"440","CHN",2009,1,0
"441","CHN",2009,0,1
"442","ECU",2009,0,1
